dataset,frequency,term,scope,window_config,context_limit,prediction_length,generated_queries,channel_windows,values,finite_values,nan_values,positive_infinity_values,negative_infinity_values,nonfinite_values,nonfinite_channel_windows,constant_channel_windows,all_nonfinite_channel_windows
CPHL,H,all,context,"L=4096,H=24",4096,24,112,112,355432,354448,984,0,0,984,56,0,0
CPHL,H,all,context,"L=4096,H=336",4096,336,8,8,24764,24701,63,0,0,63,4,0,0
CPHL,H,all,context,"L=8192,H=168",8192,168,16,16,72055,69407,2648,0,0,2648,8,0,0
CPHL,H,all,context,"L=8192,H=24",8192,24,112,112,510820,492224,18596,0,0,18596,56,0,0
CPHL,H,all,context,"L=8192,H=336",8192,336,8,8,35483,34162,1321,0,0,1321,4,0,0
CPHL,H,all,context,"L=full,H=168",,168,16,16,72820,70172,2648,0,0,2648,8,0,0
CPHL,H,all,context,"L=full,H=24",,24,112,112,517804,499208,18596,0,0,18596,56,0,0
CPHL,H,all,context,"L=full,H=336",,336,8,8,35738,34417,1321,0,0,1321,4,0,0
CPHL,H,all,query,H=168,,168,16,16,2688,2654,34,0,0,34,3,0,0
CPHL,H,all,query,H=24,,24,112,112,2688,2654,34,0,0,34,9,0,0
CPHL,H,all,query,H=336,,336,8,8,2688,2654,34,0,0,34,2,0,0
Coastal_T_S,15T,all,context,"L=2048,H=12",2048,12,600,1800,3686400,3686400,0,0,0,0,0,0,0
Coastal_T_S,15T,all,context,"L=2048,H=288",2048,288,25,75,153600,153600,0,0,0,0,0,0,0
Coastal_T_S,15T,all,context,"L=2048,H=96",2048,96,75,225,460800,460800,0,0,0,0,0,0,0
Coastal_T_S,15T,all,context,"L=4096,H=12",4096,12,600,1800,7372800,7372800,0,0,0,0,0,0,0
Coastal_T_S,15T,all,context,"L=4096,H=288",4096,288,25,75,307200,307200,0,0,0,0,0,0,0
Coastal_T_S,15T,all,context,"L=4096,H=96",4096,96,75,225,921600,921600,0,0,0,0,0,0,0
Coastal_T_S,15T,all,context,"L=8192,H=12",8192,12,600,1800,14745600,14745600,0,0,0,0,0,0,0
Coastal_T_S,15T,all,context,"L=8192,H=288",8192,288,25,75,614400,614400,0,0,0,0,0,0,0
Coastal_T_S,15T,all,context,"L=8192,H=96",8192,96,75,225,1843200,1843200,0,0,0,0,0,0,0
Coastal_T_S,15T,all,context,"L=full,H=12",,12,600,1800,36259560,36259560,0,0,0,0,0,0,0
Coastal_T_S,15T,all,context,"L=full,H=288",,288,25,75,1500465,1500465,0,0,0,0,0,0,0
Coastal_T_S,15T,all,context,"L=full,H=96",,96,75,225,4522995,4522995,0,0,0,0,0,0,0
Coastal_T_S,15T,all,query,H=12,,12,600,1800,21600,21600,0,0,0,0,0,0,0
Coastal_T_S,15T,all,query,H=288,,288,25,75,21600,21600,0,0,0,0,0,0,0
Coastal_T_S,15T,all,query,H=96,,96,75,225,21600,21600,0,0,0,0,0,0,0
Coastal_T_S,20T,all,context,"L=2048,H=216",2048,216,5,15,30720,30720,0,0,0,0,0,0,0
Coastal_T_S,20T,all,context,"L=2048,H=72",2048,72,15,45,92160,92160,0,0,0,0,0,0,0
Coastal_T_S,20T,all,context,"L=2048,H=9",2048,9,120,360,737280,737280,0,0,0,0,0,0,0
Coastal_T_S,20T,all,context,"L=4096,H=216",4096,216,5,15,61440,61440,0,0,0,0,0,0,0
Coastal_T_S,20T,all,context,"L=4096,H=72",4096,72,15,45,184320,184320,0,0,0,0,0,0,0
Coastal_T_S,20T,all,context,"L=4096,H=9",4096,9,120,360,1474560,1474560,0,0,0,0,0,0,0
Coastal_T_S,20T,all,context,"L=8192,H=216",8192,216,5,15,113250,113250,0,0,0,0,0,0,0
Coastal_T_S,20T,all,context,"L=8192,H=72",8192,72,15,45,342990,342990,0,0,0,0,0,0,0
Coastal_T_S,20T,all,context,"L=8192,H=9",8192,9,120,360,2755260,2755260,0,0,0,0,0,0,0
Coastal_T_S,20T,all,context,"L=full,H=216",,216,5,15,113250,113250,0,0,0,0,0,0,0
Coastal_T_S,20T,all,context,"L=full,H=72",,72,15,45,342990,342990,0,0,0,0,0,0,0
Coastal_T_S,20T,all,context,"L=full,H=9",,9,120,360,2755260,2755260,0,0,0,0,0,0,0
Coastal_T_S,20T,all,query,H=216,,216,5,15,3240,3240,0,0,0,0,0,0,0
Coastal_T_S,20T,all,query,H=72,,72,15,45,3240,3240,0,0,0,0,0,0,0
Coastal_T_S,20T,all,query,H=9,,9,120,360,3240,3240,0,0,0,0,0,0,0
Coastal_T_S,5T,all,context,"L=2048,H=288",2048,288,270,810,1658880,1658880,0,0,0,0,0,0,0
Coastal_T_S,5T,all,context,"L=2048,H=36",2048,36,2160,6480,13271040,13271040,0,0,0,0,0,0,0
Coastal_T_S,5T,all,context,"L=2048,H=864",2048,864,90,270,552960,552960,0,0,0,0,0,0,0
Coastal_T_S,5T,all,context,"L=4096,H=288",4096,288,270,810,3317760,3317760,0,0,0,0,0,0,0
Coastal_T_S,5T,all,context,"L=4096,H=36",4096,36,2160,6480,26542080,26542080,0,0,0,0,0,0,0
Coastal_T_S,5T,all,context,"L=4096,H=864",4096,864,90,270,1105920,1105920,0,0,0,0,0,0,0
Coastal_T_S,5T,all,context,"L=8192,H=288",8192,288,270,810,6635520,6635520,0,0,0,0,0,0,0
Coastal_T_S,5T,all,context,"L=8192,H=36",8192,36,2160,6480,53084160,53084160,0,0,0,0,0,0,0
Coastal_T_S,5T,all,context,"L=8192,H=864",8192,864,90,270,2211840,2211840,0,0,0,0,0,0,0
Coastal_T_S,5T,all,context,"L=full,H=288",,288,270,810,53703765,53702730,1035,0,0,1035,15,0,0
Coastal_T_S,5T,all,context,"L=full,H=36",,36,2160,6480,430446600,430438320,8280,0,0,8280,120,0,0
Coastal_T_S,5T,all,context,"L=full,H=864",,864,90,270,17823495,17823150,345,0,0,345,5,0,0
Coastal_T_S,5T,all,query,H=288,,288,270,810,233280,233280,0,0,0,0,0,0,0
Coastal_T_S,5T,all,query,H=36,,36,2160,6480,233280,233280,0,0,0,0,0,0,0
Coastal_T_S,5T,all,query,H=864,,864,90,270,233280,233280,0,0,0,0,0,0,0
Coastal_T_S,H,all,context,"L=2048,H=168",2048,168,96,288,589824,589824,0,0,0,0,0,0,0
Coastal_T_S,H,all,context,"L=2048,H=24",2048,24,672,2016,4128768,4128768,0,0,0,0,0,0,0
Coastal_T_S,H,all,context,"L=2048,H=336",2048,336,48,144,294912,294912,0,0,0,0,0,0,0
Coastal_T_S,H,all,context,"L=4096,H=168",4096,168,96,288,1112988,1112988,0,0,0,0,0,0,0
Coastal_T_S,H,all,context,"L=4096,H=24",4096,24,672,2016,7833000,7833000,0,0,0,0,0,0,0
Coastal_T_S,H,all,context,"L=4096,H=336",4096,336,48,144,552966,552966,0,0,0,0,0,0,0
Coastal_T_S,H,all,context,"L=8192,H=168",8192,168,96,288,1454712,1454712,0,0,0,0,0,0,0
Coastal_T_S,H,all,context,"L=8192,H=24",8192,24,672,2016,10315392,10315392,0,0,0,0,0,0,0
Coastal_T_S,H,all,context,"L=8192,H=336",8192,336,48,144,716274,716274,0,0,0,0,0,0,0
Coastal_T_S,H,all,context,"L=full,H=168",,168,96,288,1459812,1459812,0,0,0,0,0,0,0
Coastal_T_S,H,all,context,"L=full,H=24",,24,672,2016,10363836,10363836,0,0,0,0,0,0,0
Coastal_T_S,H,all,context,"L=full,H=336",,336,48,144,717810,717810,0,0,0,0,0,0,0
Coastal_T_S,H,all,query,H=168,,168,96,288,48384,48384,0,0,0,0,0,0,0
Coastal_T_S,H,all,query,H=24,,24,672,2016,48384,48384,0,0,0,0,0,18,0
Coastal_T_S,H,all,query,H=336,,336,48,144,48384,48384,0,0,0,0,0,0,0
Commodity_Import,M,all,context,"L=2048,H=12",2048,12,40,40,26450,26450,0,0,0,0,0,0,0
Commodity_Import,M,all,context,"L=4096,H=12",4096,12,40,40,26450,26450,0,0,0,0,0,0,0
Commodity_Import,M,all,context,"L=8192,H=12",8192,12,40,40,26450,26450,0,0,0,0,0,0,0
Commodity_Import,M,all,context,"L=full,H=12",,12,40,40,26450,26450,0,0,0,0,0,0,0
Commodity_Import,M,all,query,H=12,,12,40,40,480,480,0,0,0,0,0,0,0
Commodity_Production,M,all,context,"L=2048,H=12",2048,12,160,160,46255,46255,0,0,0,0,0,0,0
Commodity_Production,M,all,context,"L=4096,H=12",4096,12,160,160,46255,46255,0,0,0,0,0,0,0
Commodity_Production,M,all,context,"L=8192,H=12",8192,12,160,160,46255,46255,0,0,0,0,0,0,0
Commodity_Production,M,all,context,"L=full,H=12",,12,160,160,46255,46255,0,0,0,0,0,0,0
Commodity_Production,M,all,query,H=12,,12,160,160,1920,1920,0,0,0,0,0,0,0
Crypto,D,all,context,"L=2048,H=30",2048,30,9,36,73728,73728,0,0,0,0,0,0,0
Crypto,D,all,context,"L=4096,H=30",4096,30,9,36,96804,96804,0,0,0,0,0,0,0
Crypto,D,all,context,"L=8192,H=30",8192,30,9,36,96804,96804,0,0,0,0,0,0,0
Crypto,D,all,context,"L=full,H=30",,30,9,36,96804,96804,0,0,0,0,0,0,0
Crypto,D,all,query,H=30,,30,9,36,1080,1080,0,0,0,0,0,0,0
ECDC_COVID,D,all,context,"L=2048,H=30",2048,30,45,45,46195,44747,1448,0,0,1448,10,0,0
ECDC_COVID,D,all,context,"L=4096,H=30",4096,30,45,45,46195,44747,1448,0,0,1448,10,0,0
ECDC_COVID,D,all,context,"L=8192,H=30",8192,30,45,45,46195,44747,1448,0,0,1448,10,0,0
ECDC_COVID,D,all,context,"L=full,H=30",,30,45,45,46195,44747,1448,0,0,1448,10,0,0
ECDC_COVID,D,all,query,H=30,,30,45,45,1350,1220,130,0,0,130,5,0,0
ECDC_COVID,W,all,context,"L=2048,H=13",2048,13,64,64,8508,8397,111,0,0,111,16,0,0
ECDC_COVID,W,all,context,"L=4096,H=13",4096,13,64,64,8508,8397,111,0,0,111,16,0,0
ECDC_COVID,W,all,context,"L=8192,H=13",8192,13,64,64,8508,8397,111,0,0,111,16,0,0
ECDC_COVID,W,all,context,"L=full,H=13",,13,64,64,8508,8397,111,0,0,111,16,0,0
ECDC_COVID,W,all,query,H=13,,13,64,64,832,820,12,0,0,12,6,0,0
EWELD_Load,15T,all,context,"L=2048,H=24",2048,24,56,560,1146880,1146880,0,0,0,0,0,0,0
EWELD_Load,15T,all,context,"L=2048,H=672",2048,672,2,20,40960,40960,0,0,0,0,0,0,0
EWELD_Load,15T,all,context,"L=2048,H=96",2048,96,14,140,286720,286720,0,0,0,0,0,0,0
EWELD_Load,15T,all,context,"L=4096,H=24",4096,24,56,560,2293760,2293760,0,0,0,0,0,0,0
EWELD_Load,15T,all,context,"L=4096,H=672",4096,672,2,20,81920,81920,0,0,0,0,0,0,0
EWELD_Load,15T,all,context,"L=4096,H=96",4096,96,14,140,573440,573440,0,0,0,0,0,0,0
EWELD_Load,15T,all,context,"L=8192,H=24",8192,24,56,560,4587520,4587520,0,0,0,0,0,0,0
EWELD_Load,15T,all,context,"L=8192,H=672",8192,672,2,20,163840,163840,0,0,0,0,0,0,0
EWELD_Load,15T,all,context,"L=8192,H=96",8192,96,14,140,1146880,1146880,0,0,0,0,0,0,0
EWELD_Load,15T,all,context,"L=full,H=24",,24,56,560,11121600,11121600,0,0,0,0,0,0,0
EWELD_Load,15T,all,context,"L=full,H=672",,672,2,20,390720,390720,0,0,0,0,0,0,0
EWELD_Load,15T,all,context,"L=full,H=96",,96,14,140,2775360,2775360,0,0,0,0,0,0,0
EWELD_Load,15T,all,query,H=24,,24,56,560,13440,13440,0,0,0,0,0,1,0
EWELD_Load,15T,all,query,H=672,,672,2,20,13440,13440,0,0,0,0,0,0,0
EWELD_Load,15T,all,query,H=96,,96,14,140,13440,13440,0,0,0,0,0,0,0
Finland_Traffic,15T,all,context,"L=2048,H=16",2048,16,186,186,380928,380928,0,0,0,0,0,0,0
Finland_Traffic,15T,all,context,"L=2048,H=672",2048,672,4,4,8192,8192,0,0,0,0,0,0,0
Finland_Traffic,15T,all,context,"L=2048,H=96",2048,96,31,31,63488,63488,0,0,0,0,0,0,0
Finland_Traffic,15T,all,context,"L=4096,H=16",4096,16,186,186,761856,761856,0,0,0,0,0,0,0
Finland_Traffic,15T,all,context,"L=4096,H=672",4096,672,4,4,16384,16384,0,0,0,0,0,0,0
Finland_Traffic,15T,all,context,"L=4096,H=96",4096,96,31,31,126976,126976,0,0,0,0,0,0,0
Finland_Traffic,15T,all,context,"L=8192,H=16",8192,16,186,186,1523712,1523712,0,0,0,0,0,0,0
Finland_Traffic,15T,all,context,"L=8192,H=672",8192,672,4,4,32768,32768,0,0,0,0,0,0,0
Finland_Traffic,15T,all,context,"L=8192,H=96",8192,96,31,31,253952,253952,0,0,0,0,0,0,0
Finland_Traffic,15T,all,context,"L=full,H=16",,16,186,186,6257040,6257040,0,0,0,0,0,0,0
Finland_Traffic,15T,all,context,"L=full,H=672",,672,4,4,132672,132672,0,0,0,0,0,0,0
Finland_Traffic,15T,all,context,"L=full,H=96",,96,31,31,1041600,1041600,0,0,0,0,0,0,0
Finland_Traffic,15T,all,query,H=16,,16,186,186,2976,2976,0,0,0,0,0,0,0
Finland_Traffic,15T,all,query,H=672,,672,4,4,2688,2688,0,0,0,0,0,0,0
Finland_Traffic,15T,all,query,H=96,,96,31,31,2976,2976,0,0,0,0,0,0,0
Global_Influenza,W,all,context,"L=2048,H=13",2048,13,60,240,41544,40785,759,0,0,759,95,0,0
Global_Influenza,W,all,context,"L=4096,H=13",4096,13,60,240,41544,40785,759,0,0,759,95,0,0
Global_Influenza,W,all,context,"L=8192,H=13",8192,13,60,240,41544,40785,759,0,0,759,95,0,0
Global_Influenza,W,all,context,"L=full,H=13",,13,60,240,41544,40785,759,0,0,759,95,0,0
Global_Influenza,W,all,query,H=13,,13,60,240,3120,3060,60,0,0,60,10,0,3
Global_Price,Q,all,context,"L=2048,H=4",2048,4,5,300,39000,38720,280,0,0,280,40,0,0
Global_Price,Q,all,context,"L=4096,H=4",4096,4,5,300,39000,38720,280,0,0,280,40,0,0
Global_Price,Q,all,context,"L=8192,H=4",8192,4,5,300,39000,38720,280,0,0,280,40,0,0
Global_Price,Q,all,context,"L=full,H=4",,4,5,300,39000,38720,280,0,0,280,40,0,0
Global_Price,Q,all,query,H=4,,4,5,300,1200,1200,0,0,0,0,0,0,0
Housing_Inventory,M,all,context,"L=2048,H=12",2048,12,3,12,1080,1080,0,0,0,0,0,0,0
Housing_Inventory,M,all,context,"L=4096,H=12",4096,12,3,12,1080,1080,0,0,0,0,0,0,0
Housing_Inventory,M,all,context,"L=8192,H=12",8192,12,3,12,1080,1080,0,0,0,0,0,0,0
Housing_Inventory,M,all,context,"L=full,H=12",,12,3,12,1080,1080,0,0,0,0,0,0,0
Housing_Inventory,M,all,query,H=12,,12,3,12,144,144,0,0,0,0,0,0,0
JOLTS,M,all,context,"L=2048,H=12",2048,12,5,30,7830,7830,0,0,0,0,0,0,0
JOLTS,M,all,context,"L=4096,H=12",4096,12,5,30,7830,7830,0,0,0,0,0,0,0
JOLTS,M,all,context,"L=8192,H=12",8192,12,5,30,7830,7830,0,0,0,0,0,0,0
JOLTS,M,all,context,"L=full,H=12",,12,5,30,7830,7830,0,0,0,0,0,0,0
JOLTS,M,all,query,H=12,,12,5,30,360,360,0,0,0,0,0,0,0
Job_Claims,W,all,context,"L=2048,H=13",2048,13,4,8,1308,1308,0,0,0,0,0,0,0
Job_Claims,W,all,context,"L=4096,H=13",4096,13,4,8,1308,1308,0,0,0,0,0,0,0
Job_Claims,W,all,context,"L=8192,H=13",8192,13,4,8,1308,1308,0,0,0,0,0,0,0
Job_Claims,W,all,context,"L=full,H=13",,13,4,8,1308,1308,0,0,0,0,0,0,0
Job_Claims,W,all,query,H=13,,13,4,8,104,104,0,0,0,0,0,0,0
MetroPT-3,5T,all,context,"L=2048,H=288",2048,288,6,36,73728,57570,16158,0,0,16158,36,0,0
MetroPT-3,5T,all,context,"L=2048,H=48",2048,48,36,216,442368,347478,94890,0,0,94890,216,0,0
MetroPT-3,5T,all,context,"L=2048,H=576",2048,576,3,18,36864,28290,8574,0,0,8574,18,0,0
MetroPT-3,5T,all,context,"L=4096,H=288",4096,288,6,36,147456,118566,28890,0,0,28890,36,0,0
MetroPT-3,5T,all,context,"L=4096,H=48",4096,48,36,216,884736,710622,174114,0,0,174114,216,0,0
MetroPT-3,5T,all,context,"L=4096,H=576",4096,576,3,18,73728,59388,14340,0,0,14340,18,0,0
MetroPT-3,5T,all,context,"L=8192,H=288",8192,288,6,36,294912,241206,53706,0,0,53706,36,0,0
MetroPT-3,5T,all,context,"L=8192,H=48",8192,48,36,216,1769472,1443582,325890,0,0,325890,216,0,0
MetroPT-3,5T,all,context,"L=8192,H=576",8192,576,3,18,147456,120654,26802,0,0,26802,18,0,0
MetroPT-3,5T,all,context,"L=full,H=288",,288,6,36,604836,499734,105102,0,0,105102,36,0,0
MetroPT-3,5T,all,context,"L=full,H=48",,48,36,216,3654936,3018054,636882,0,0,636882,216,0,0
MetroPT-3,5T,all,context,"L=full,H=576",,576,3,18,299826,247794,52032,0,0,52032,18,0,0
MetroPT-3,5T,all,query,H=288,,288,6,36,10368,8922,1446,0,0,1446,30,0,0
MetroPT-3,5T,all,query,H=48,,48,36,216,10368,8922,1446,0,0,1446,60,0,6
MetroPT-3,5T,all,query,H=576,,576,3,18,10368,8922,1446,0,0,1446,18,0,0
NE_China_Wind,H,all,context,"L=2048,H=168",2048,168,4,16,32768,32768,0,0,0,0,0,0,0
NE_China_Wind,H,all,context,"L=2048,H=24",2048,24,30,120,245760,245760,0,0,0,0,0,0,0
NE_China_Wind,H,all,context,"L=2048,H=72",2048,72,10,40,81920,81920,0,0,0,0,0,0,0
NE_China_Wind,H,all,context,"L=4096,H=168",4096,168,4,16,65536,65536,0,0,0,0,0,0,0
NE_China_Wind,H,all,context,"L=4096,H=24",4096,24,30,120,491520,491520,0,0,0,0,0,0,0
NE_China_Wind,H,all,context,"L=4096,H=72",4096,72,10,40,163840,163840,0,0,0,0,0,0,0
NE_China_Wind,H,all,context,"L=8192,H=168",8192,168,4,16,130480,130480,0,0,0,0,0,0,0
NE_China_Wind,H,all,context,"L=8192,H=24",8192,24,30,120,980912,980912,0,0,0,0,0,0,0
NE_China_Wind,H,all,context,"L=8192,H=72",8192,72,10,40,326768,326768,0,0,0,0,0,0,0
NE_China_Wind,H,all,context,"L=full,H=168",,168,4,16,132736,132736,0,0,0,0,0,0,0
NE_China_Wind,H,all,context,"L=full,H=24",,24,30,120,1007040,1007040,0,0,0,0,0,0,0
NE_China_Wind,H,all,context,"L=full,H=72",,72,10,40,334720,334720,0,0,0,0,0,0,0
NE_China_Wind,H,all,query,H=168,,168,4,16,2688,2688,0,0,0,0,0,0,0
NE_China_Wind,H,all,query,H=24,,24,30,120,2880,2880,0,0,0,0,0,0,0
NE_China_Wind,H,all,query,H=72,,72,10,40,2880,2880,0,0,0,0,0,0,0
Oil_Price,B,all,context,"L=2048,H=20",2048,20,35,420,860160,811392,48768,0,0,48768,420,0,0
Oil_Price,B,all,context,"L=4096,H=20",4096,20,35,420,1720320,1633656,86664,0,0,86664,420,0,0
Oil_Price,B,all,context,"L=8192,H=20",8192,20,35,420,1956360,1859268,97092,0,0,97092,420,0,0
Oil_Price,B,all,context,"L=full,H=20",,20,35,420,1956360,1859268,97092,0,0,97092,420,0,0
Oil_Price,B,all,query,H=20,,20,35,420,8400,7776,624,0,0,624,336,0,0
Online_Retail_2_UCI,D,all,context,"L=2048,H=30",2048,30,6,6,3804,3804,0,0,0,0,0,0,0
Online_Retail_2_UCI,D,all,context,"L=4096,H=30",4096,30,6,6,3804,3804,0,0,0,0,0,0,0
Online_Retail_2_UCI,D,all,context,"L=8192,H=30",8192,30,6,6,3804,3804,0,0,0,0,0,0,0
Online_Retail_2_UCI,D,all,context,"L=full,H=30",,30,6,6,3804,3804,0,0,0,0,0,0,0
Online_Retail_2_UCI,D,all,query,H=30,,30,6,6,180,180,0,0,0,0,0,0,0
OpenElectricity_NEM,5T,all,context,"L=2048,H=24",2048,24,168,1680,3440640,3440640,0,0,0,0,0,0,0
OpenElectricity_NEM,5T,all,context,"L=2048,H=288",2048,288,14,140,286720,286720,0,0,0,0,0,0,0
OpenElectricity_NEM,5T,all,context,"L=2048,H=96",2048,96,42,420,860160,860160,0,0,0,0,0,0,0
OpenElectricity_NEM,5T,all,context,"L=4096,H=24",4096,24,168,1680,6881280,6881280,0,0,0,0,0,0,0
OpenElectricity_NEM,5T,all,context,"L=4096,H=288",4096,288,14,140,573440,573440,0,0,0,0,0,0,0
OpenElectricity_NEM,5T,all,context,"L=4096,H=96",4096,96,42,420,1720320,1720320,0,0,0,0,0,0,0
OpenElectricity_NEM,5T,all,context,"L=8192,H=24",8192,24,168,1680,13762560,13762560,0,0,0,0,0,0,0
OpenElectricity_NEM,5T,all,context,"L=8192,H=288",8192,288,14,140,1146880,1146880,0,0,0,0,0,0,0
OpenElectricity_NEM,5T,all,context,"L=8192,H=96",8192,96,42,420,3440640,3440640,0,0,0,0,0,0,0
OpenElectricity_NEM,5T,all,context,"L=full,H=24",,24,168,1680,69652800,69652800,0,0,0,0,0,0,0
OpenElectricity_NEM,5T,all,context,"L=full,H=288",,288,14,140,5785920,5785920,0,0,0,0,0,0,0
OpenElectricity_NEM,5T,all,context,"L=full,H=96",,96,42,420,17398080,17398080,0,0,0,0,0,0,0
OpenElectricity_NEM,5T,all,query,H=24,,24,168,1680,40320,40320,0,0,0,0,0,8,0
OpenElectricity_NEM,5T,all,query,H=288,,288,14,140,40320,40320,0,0,0,0,0,0,0
OpenElectricity_NEM,5T,all,query,H=96,,96,42,420,40320,40320,0,0,0,0,0,0,0
Port_Activity,D,all,context,"L=2048,H=30",2048,30,1188,2376,4567068,4567068,0,0,0,0,0,0,0
Port_Activity,D,all,context,"L=4096,H=30",4096,30,1188,2376,4578552,4578552,0,0,0,0,0,0,0
